05-51-01-210-801,HARD LANDING OR HIGH DRAG/SIDE LOADLANDING CONDITIONAL INSPECTION Phase I Inspection,硬着陆或高阻力/侧向载荷着陆状况检查 I,1
05-51-01-210-802,HARD LANDING OR HIGH DRAG/SIDE LOADLANDING CONDITIONAL INSPECTION Phase II Inspection II,硬着陆或高阻力/侧向载荷着陆状况检查 II,2
05-51-04-210-801,Severe or Unusual Turbulence StallBuffet or Speeds More than the Design  Limits Conditional Inspection,严重或异常紊流，失速， 振动或速度超过设计限制状况检查,3
05-51-07-210-801,HIGH ENERGY STOP/HEAT DAMAGE CONDITION,高能制动/热损伤状况-维护实施,4
05-51-08-210-801,FLAP/SLAT DOWN OVERSPEED CONDITION- MAINTENANCE PRACTICES Phase I Inspection,襟翼/缝翼向下超速状况阶段I检查,5
05-51-08-210-802,FLAP/SLAT DOWN OVERSPEED CONDITION- MAINTENANCE PRACTICES Phase II Inspection,襟翼/缝翼向下超速状况阶段II检查,6
05-51-09-212-801,OVERWEIGHT TAXI - MAINTENANCE PRACTICES (CONDITIONAL INSPECTION) Phase I Inspection,超重滑行-维护实施(状况检查)阶段I 检查,7
05-51-09-210-801,OVERWEIGHT TAXI - MAINTENANCE PRACTICES (CONDITIONAL INSPECTION) Phase II Inspection,超重滑行-维护实施(状况检查)阶段II 检查,8
05-51-15-210-801,Brake Seizure Conditional Inspection,刹车卡住状况检查,9
05-51-16-210-801,Flat Spotted Tires Conditional Inspection,轮胎磨平状况检查,10
05-51-17-210-801,Wheel Bearing Failure,机轮轴承失效,11
21-27-05,EQUIPMENT COOLING OVERBOARD EXHAUST VALVE - REMOVAL/INSTALLATION,设备冷却机外排气活门-拆卸/安装,12
21-27-06,SATCOM COOLING FAN - REMOVAL/INSTALLATION,卫星通信冷却风扇-拆卸/安装,13
21-27-07,EQUIPMENT COOLING MUFFLER -REMOVAL/INSTALLATION,设备冷却消声器-拆卸/安装,14
21-31-00,PRESSURIZATION CONTROL SYSTEM -ADJUSTMENT/TEST,增压控制系统-调整/测试,15
21-31-00-710-801,Pressurization System Manual Mode Test,增压系统手动模式测试,16
21-31-00-710-802,750 Feet Per Minute Descent With Cargo Fire Mode Test,货舱防火模式测试下750 英尺/分钟下降,17
21-31-00-700-801,Master Caution Test,主警告测试,18
21-31-00-700-802,Pressurization System Ground Test,增压系统地面测试,19
21-31-01,CABIN PRESSURE CONTROLLER (CPC) -REMOVAL/INSTALLATION,客舱压力控制器(CPC)-拆卸/安装,20
21-31-01-000-801,Cabin Pressure Controller (CPC) Removal,客舱压力控制器(CPC)的拆卸,21
21-31-01-400-801,Cabin Pressure Controller (CPC) Installation,客舱压力控制器(CPC)的安装,22
21-31-02-000-801,Cabin Pressure Control Module Removal,拆卸客舱压力控制组件,23
21-31-02-400-801,Cabin Pressure Control Module Installation,安装客舱压力控制组件,24
32-33-41,NOSE GEAR TRANSFER CYLINDER -REMOVAL/INSTALLATION,前起落架传输作动筒-拆卸/安装,25
32-33-51,NOSE GEAR LOCK MECHANISM -REMOVAL/INSTALLATION,前起落架锁紧机构-拆卸/安装,26
32-33-51,NOSE GEAR LOCK MECHANISM -INSPECTION/CHECK,前起落架锁机构-检验/检查,27
32-33-52,NOSE GEAR LOCK SPRING - REMOVAL/INSTALLATION,起落架锁弹簧-拆卸/安装,28
32-33-61,NOSE GEAR WHEEL WELL DOOR LINKAGE -REMOVAL/INSTALLATION,前起落架轮舱门连杆-拆卸/安装,29
32-33-61,NOSE GEAR WHEEL WELL DOOR LINKAGE -ADJUSTMENT/TEST,前起落架轮舱门连杆-调整/测试,30
32-33-61,Nose Gear Wheel Well Door Linkage Inspection,前起落架轮舱门连杆-检验/检查,31
32-33-71,NOSE GEAR PRESSURE FUSE - REMOVAL/INSTALLATION,前起落架压力保险丝-拆卸/安装,32
32-33-72,NOSE GEAR HYDRAULIC FLOW REGULATOR - REMOVAL/INSTALLATION,前起落架液压流量调节器-拆卸/安装,33
32-34-00,MAIN GEAR MANUAL EXTENSION SYSTEM - ADJUSTMENT/TEST,主起落架手动伸出系统-调节/测试,34
32-34-11,MAIN GEAR MANUAL EXTENSION CONTROL MECHANISM - REMOVAL/INSTALLATION,主起落架手动放下操纵机构-拆卸/安装,35
32-34-21,MAIN GEAR MANUAL EXTENSION MECHANISM - REMOVAL/INSTALLATION,主起落架手动放下机构-拆卸/安装,36
32-34-31,MAIN GEAR MANUAL EXTENSION SYSTEM CABLES - REMOVAL/INSTALLATION,主起落架手动放下系统钢索-拆卸/安装,37
32-35-00,NOSE GEAR MANUAL EXTENSION SYSTEM - ADJUSTMENT/TEST,前起落架手动伸出系统-调节/测试,38
32-35-11,NOSE GEAR MANUAL EXTENSION RELEASE MECHANISM - REMOVAL/INSTALLATION,前起落架手动放下释放机构-拆卸/安装,39
32-35-20,NOSE GEAR MANUAL EXTENSION SPRING -REMOVAL/INSTALLATION,前起落架人工伸展弹簧-拆卸/安装,40
32-35-21,NOSE GEAR MANUAL EXTENSION SYSTEM CABLES - REMOVAL/INSTALLATION,前起落架手动放下系统钢索-拆卸/安装,41
32-41-00,HYDRAULIC BRAKE SYSTEM -MAINTENANCE PRACTICES,液压刹车系统-维护实施,42
32-41-00,HYDRAULIC BRAKE SYSTEM -ADJUSTMENT/TEST,液压刹车系统-调节/测试,43
32-41-11,BRAKE DISCONNECT - REMOVAL/INSTALLATION,刹车断开装置-拆卸/安装,44
32-41-21,BRAKE METERING VALVE CONTROL QUADRANT - REMOVAL/INSTALLATION,刹车调节活门操纵扇形轮-拆卸/安装,45
32-41-31,BRAKE METERING VALVE ASSEMBLY -REMOVAL/INSTALLATION,刹车调节活门组件-拆卸/安装,46
32-41-41,MAIN LANDING GEAR BRAKE - REMOVAL/INSTALLATION,主起落架刹车-拆卸/安装,47
32-41-41,MAIN LANDING GEAR BRAKE -INSPECTION/CHECK,主起落架刹车-检验/检查,48
32-41-51,HYDRAULIC BRAKE ACCUMULATOR -REMOVAL/INSTALLATION,液压刹车蓄压器-拆卸/安装,49
32-41-53,BRAKE ACCUMULATOR PRESSURE TRANSMITTER - REMOVAL/INSTALLATION,刹车蓄压器压力传感器-拆卸/安装,50
32-41-54,BRAKE ACCUMULATOR PRESSURE GAGE (FLIGHT COMPARTMENT) - REMOVAL/INSTALLATION,刹车蓄压器压力表(驾驶舱)-拆卸/安装,51
32-41-71,BRAKE ACCUMULATOR PRESSURE RELIEF VALVE - REMOVAL/INSTALLATION,刹车蓄压器释压活门-拆卸/安装,52
32-41-72,BRAKE HYDRAULIC FUSES - REMOVAL/INSTALLATION,刹车液力熔断器-拆卸/安装,53
32-41-81,HYDRAULIC BRAKE CONTROL CABLE -REMOVAL/INSTALLATION,液压刹车操纵钢索-拆卸/安装,54
32-41-91,BRAKE ACCUMULATOR ISOLATION VALVE - REMOVAL/INSTALLATION,刹车蓄压器隔离活门-拆卸/安装,55
32-41-93,ALTERNATE BRAKE SELECTOR VALVE -REMOVAL/INSTALLATION,备用刹车选择器活门-拆卸/安装,56
32-41-95,BRAKE SHUTTLE VALVES - REMOVAL/INSTALLATION,刹车往复活门-拆卸/安装,57
32-41-96,BRAKE FLOW LIMITERS - REMOVAL/INSTALLATION,刹车流量限制器-拆卸/安装,58
32-42-00,ANTISKID/AUTOBRAKE SYSTEM -ADJUSTMENT/TEST,防滑/自动刹车系统-调整/测试,59
32-42-11,ANTISKID WHEEL SPEED TRANSDUCER -REMOVAL/INSTALLATION,防滑机轮速度传感器-拆卸/安装,60
32-42-21,ANTISKID/AUTOBRAKE CONTROL UNIT -REMOVAL/INSTALLATION,防滑/自动刹车控制组件-拆卸/安装,61
32-42-31,ANTISKID VALVE - REMOVAL/INSTALLATION,防滑活门-拆卸/安装,62
32-42-51,ANTISKID LANDING GEAR LEVER UP SWITCH - REMOVAL/INSTALLATION,防滑起落架手柄向上电门-拆卸/安装,63
32-42-61,AUTOBRAKE SELECTOR SWITCH -REMOVAL/INSTALLATION,自动刹车选择器电门-拆卸/安装,64
